"catchmentID","HydModID (flow cumecs)","Date","FF-HadRM3-Q0_afgcx","FF-HadRM3-Q3_afixa","FF-HadRM3-Q4_afixc","FF-HadRM3-Q6_afixh","FF-HadRM3-Q9_afixi","FF-HadRM3-Q8_afixj","FF-HadRM3-Q10_afixk","FF-HadRM3-Q14_afixl","FF-HadRM3-Q11_afixm","FF-HadRM3-Q13_afixo","FF-HadRM3-Q16_afixq"
"TL33_4","RGroundwater","15/01/1951",79.7598,81.5746,79.0687,79.1077,80.1464,79.0092,81.4729,79.0943,79.0917,81.0313,79.1575
"TL33_4","RGroundwater","15/02/1951",81.4649,84.6028,78.8341,79.3369,81.0187,78.364,83.1815,79.4152,79.428,85.2387,79.6562
"TL33_4","RGroundwater","15/03/1951",83.7198,86.1669,80.1757,80.7123,82.8967,77.7359,84.3689,80.717,81.1606,87.9472,81.0126
"TL33_4","RGroundwater","15/04/1951",84.8517,86.6089,82.4124,82.7417,83.9047,77.6923,83.9338,80.7856,82.8829,88.5255,81.7311
"TL33_4","RGroundwater","15/05/1951",84.2202,85.867,81.7658,85.7125,82.6429,79.2873,83.0352,79.9712,84.1179,87.2136,83.9057
"TL33_4","RGroundwater","15/06/1951",82.8498,84.7021,81.2189,86.6476,81.5639,81.2768,81.9005,79.2252,83.8281,85.3181,85.2372
"TL33_4","RGroundwater","15/07/1951",81.6947,83.152,80.9736,84.5883,80.6262,80.4763,80.9083,78.5006,82.508,83.5864,83.6169
"TL33_4","RGroundwater","15/08/1951",80.734,81.9377,80.1315,83.0428,79.8418,79.6616,80.0483,77.8146,81.4156,82.2805,82.3043
"TL33_4","RGroundwater","15/09/1951",79.9727,80.9719,79.3731,81.8888,79.1819,78.9368,79.2965,77.1903,80.5226,81.2613,81.2812
"TL33_4","RGroundwater","15/10/1951",79.8607,80.1034,78.6401,80.897,78.4613,78.2232,78.5674,76.5794,79.7024,80.3575,80.3748
"TL33_4","RGroundwater","15/11/1951",82.1238,79.3495,77.9703,80.0692,77.7998,77.5757,77.9004,76.0203,78.975,79.58,79.5963
"TL33_4","RGroundwater","15/12/1951",86.2692,78.7358,77.4414,79.457,77.1557,76.9454,77.2941,75.4752,78.2643,78.8377,78.8771
"TL33_4","RGroundwater","15/01/1952",87.4979,79.1878,77.9156,80.3581,76.5556,76.4171,77.0571,75.197,77.7673,78.215,78.423
"TL33_4","RGroundwater","15/02/1952",87.2728,81.7779,79.542,84.4415,76.1195,76.6182,77.2676,76.9432,78.7703,78.4362,78.6346
"TL33_4","RGroundwater","15/03/1952",87.2537,83.9265,80.4785,88.469,76.0728,78.5523,77.5948,81.2443,81.7571,80.3148,79.7854
"TL33_4","RGroundwater","15/04/1952",86.7292,83.3287,81.6823,89.2691,76.7085,80.9399,78.481,83.2573,82.973,82.4442,81.488
"TL33_4","RGroundwater","15/05/1952",86.6598,82.1027,81.7629,88.7489,77.5438,81.0952,78.3515,83.8581,81.9091,82.5828,81.4077
"TL33_4","RGroundwater","15/06/1952",87.6296,81.1118,82.6766,86.7945,77.8078,81.008,78.5463,84.7647,80.9489,81.707,81.7478
"TL33_4","RGroundwater","15/07/1952",85.8925,80.2278,82.1034,84.6143,77.1958,81.5262,77.8907,83.6569,80.0843,80.7496,82.8338
"TL33_4","RGroundwater","15/08/1952",84.8292,79.436,81.0984,83.0621,76.5854,82.1201,77.2411,82.3512,79.3045,79.9071,81.7619
"TL33_4","RGroundwater","15/09/1952",83.3052,78.7288,80.2445,81.9043,76.026,81.3158,76.6507,81.3205,78.5995,79.1658,80.8218
"TL33_4","RGroundwater","15/10/1952",82.0577,78.066,79.4501,80.9102,75.4752,81.515,76.2097,80.409,77.9065,78.4429,79.9703
"TL33_4","RGroundwater","15/11/1952",81.0737,77.5169,78.7377,80.0777,74.968,82.5004,76.8695,79.6269,77.2804,77.7825,79.2244
"TL33_4","RGroundwater","15/12/1952",80.195,77.2191,78.037,79.2984,74.4683,81.5855,78.3284,78.8838,76.8455,77.1401,78.5001
"TL33_4","RGroundwater","15/01/1953",79.4423,78.1321,77.3802,78.5725,74.0865,81.587,77.9377,78.3696,77.9816,76.5823,77.8343
"TL33_4","RGroundwater","15/02/1953",79.1631,79.9313,76.8909,78.0686,74.5452,83.0653,78.9914,79.5715,82.0003,76.6168,77.5348
"TL33_4","RGroundwater","15/03/1953",79.7455,80.5637,76.9987,78.5059,75.9749,84.3686,82.2912,83.1962,85.291,78.1084,78.3879
"TL33_4","RGroundwater","15/04/1953",80.6782,81.273,78.3995,80.3555,77.2841,85.9718,84.2871,85.4081,85.2645,80.0922,80.5276
"TL33_4","RGroundwater","15/05/1953",81.0185,81.7732,79.4307,80.9917,78.7025,86.8646,83.1461,85.8721,84.1295,79.8643,81.4827
"TL33_4","RGroundwater","15/06/1953",81.4062,83.1341,78.7844,80.2037,78.105,86.2048,81.9806,86.0484,83.6138,79.144,81.1262
"TL33_4","RGroundwater","15/07/1953",80.5321,82.0237,78.0812,79.4139,77.4428,84.3406,80.976,84.1609,82.3357,78.4231,80.2596
"TL33_4","RGroundwater","15/08/1953",79.7121,81.1535,77.4362,78.6797,76.8188,82.8822,80.1089,82.7515,81.2734,77.7434,79.465
"TL33_4","RGroundwater","15/09/1953",78.984,80.9481,76.9665,78.0051,76.2477,81.9315,79.3915,81.8982,80.4042,77.2036,78.7517
"TL33_4","RGroundwater","15/10/1953",78.2687,80.97,76.5955,77.348,75.686,81.2279,78.9906,81.3254,79.6448,77.2776,78.0492
"TL33_4","RGroundwater","15/11/1953",77.6206,80.1663,76.047,76.7492,75.1708,80.3719,78.866,80.493,79.0056,77.8501,77.412
"TL33_4","RGroundwater","15/12/1953",77.0984,79.434,75.6326,76.1635,74.7383,79.6687,78.1802,80.0319,78.315,77.2746,76.8131
"TL33_4","RGroundwater","15/01/1954",77.5596,79.2833,76.5389,75.6459,74.9704,79.8471,77.5581,80.5091,77.9601,77.1617,76.6721
"TL33_4","RGroundwater","15/02/1954",79.9234,80.7224,80.7916,75.5545,76.432,81.3184,77.4731,81.3703,79.1626,79.7682,79.0252
"TL33_4","RGroundwater","15/03/1954",83.0416,83.0683,85.7691,76.2722,78.925,82.1508,78.5971,81.2553,82.0703,84.2649,83.5841
"TL33_4","RGroundwater","15/04/1954",85.3419,84.0941,86.8386,78.1017,82.3697,82.2679,80.3723,81.2597,83.4789,84.2334,85.0158
"TL33_4","RGroundwater","15/05/1954",84.5977,83.8058,87.6663,80.3413,83.0092,81.3845,80.6992,80.8267,82.5975,84.0416,85.5276
"TL33_4","RGroundwater","15/06/1954",84.4758,83.5216,88.9141,80.6446,82.8963,80.5005,80.0818,80.0902,81.5374,83.4715,84.4585
"TL33_4","RGroundwater","15/07/1954",83.1355,82.2696,89.2936,80.1591,82.6099,79.6835,79.7457,79.4289,80.598,82.5428,82.9701
"TL33_4","RGroundwater","15/08/1954",81.9293,81.2409,86.2642,79.3875,81.5328,78.9335,79.7392,78.6985,79.7713,81.4572,81.7919
"TL33_4","RGroundwater","15/09/1954",80.9648,80.5628,84.2967,78.6953,80.6244,78.2624,79.0386,78.0228,79.0394,80.5587,80.8475
"TL33_4","RGroundwater","15/10/1954",80.0971,80.0669,82.8231,78.0281,79.7939,77.7465,78.3211,77.3666,78.322,79.7349,79.9931
"TL33_4","RGroundwater","15/11/1954",79.3415,79.3276,81.7102,77.5393,79.0605,77.3926,77.6679,76.8739,77.6686,79.0066,79.2455
"TL33_4","RGroundwater","15/12/1954",78.6125,78.6602,80.7463,78.2804,78.3473,76.7817,77.0351,77.3504,77.0357,78.3542,78.5204
"TL33_4","RGroundwater","15/01/1955",77.995,78.6095,79.9046,81.1302,77.8914,76.1961,76.6396,79.9844,76.6368,78.271,77.8578
"TL33_4","RGroundwater","15/02/1955",78.1798,80.0338,79.2356,84.4135,79.2968,75.8248,77.9725,83.677,77.9594,79.2845,77.5396
"TL33_4","RGroundwater","15/03/1955",80.0091,81.4473,78.7593,86.9801,82.945,76.4165,81.402,86.8511,81.4718,80.9496,77.864
"TL33_4","RGroundwater","15/04/1955",82.3953,81.212,79.0226,86.4517,84.4454,77.7946,83.3133,88.4427,83.1629,83.1037,78.6577
"TL33_4","RGroundwater","15/05/1955",83.5255,81.0531,79.9796,84.4159,83.949,77.2874,84.0531,86.2204,83.3855,83.3388,79.5973
"TL33_4","RGroundwater","15/06/1955",84.0775,80.8417,80.522,82.9629,82.6531,77.2167,83.4145,84.2839,83.7248,82.7293,80.7772
"TL33_4","RGroundwater","15/07/1955",82.7278,81.0302,79.7518,81.786,81.5351,77.5,82.1718,82.8154,82.4483,82.9263,80.0051
"TL33_4","RGroundwater","15/08/1955",81.5956,80.198,78.9969,80.811,80.5961,76.9815,81.1366,81.6668,81.3664,82.6176,79.2316
"TL33_4","RGroundwater","15/09/1955",80.6787,79.5031,78.3051,79.9893,79.7963,77.1154,80.2791,80.7401,80.4798,81.5738,78.5301
"TL33_4","RGroundwater","15/10/1955",79.8426,79.3489,77.6301,79.216,79.0372,78.4137,79.5239,79.8975,79.6637,80.6281,77.8414
"TL33_4","RGroundwater","15/11/1955",79.1082,79.6409,77.016,78.5152,78.3439,79.2656,79.1766,79.1569,78.9394,79.83,77.2158
"TL33_4","RGroundwater","15/12/1955",78.5183,79.0167,76.4171,77.8324,77.6709,78.5964,79.2013,78.4364,78.2624,79.3202,76.622
"TL33_4","RGroundwater","15/01/1956",79.1742,79.0742,75.9442,77.4025,77.2118,77.9082,79.1449,77.8053,78.0088,80.8047,76.3215
"TL33_4","RGroundwater","15/02/1956",82.857,80.1843,76.435,78.7848,78.2294,77.4893,80.0988,77.6785,79.0943,84.4725,77.4245
"TL33_4","RGroundwater","15/03/1956",87.0557,80.6786,79.1897,82.5357,81.0051,78.5539,81.0919,78.2945,81.0348,84.8749,80.1383
"TL33_4","RGroundwater","15/04/1956",87.5296,80.5606,83.2167,84.7742,82.8166,81.4821,80.8835,79.354,81.7483,84.3146,81.8917
"TL33_4","RGroundwater","15/05/1956",86.7708,80.048,84.8609,85.378,84.1077,82.9971,81.7529,80.3128,81.8719,84.6605,82.2953
"TL33_4","RGroundwater","15/06/1956",85.4967,79.4255,83.4029,85.1343,83.2464,84.538,82.4273,79.604,81.8924,85.8366,82.4986
"TL33_4","RGroundwater","15/07/1956",84.0006,78.6953,82.1366,85.1334,82.0297,84.8873,81.4119,78.8587,80.9387,84.0418,82.8617
"TL33_4","RGroundwater","15/08/1956",83.0607,77.9973,81.1072,83.5063,81.0178,83.3337,80.5495,78.1524,80.0752,82.6319,81.8706
"TL33_4","RGroundwater","15/09/1956",81.9211,77.3628,80.2522,82.2594,80.193,82.1223,80.2638,77.6095,79.3213,81.5533,81.4178
"TL33_4","RGroundwater","15/10/1956",80.9244,76.7452,79.4572,81.2083,79.5713,81.0938,80.335,77.8312,78.591,80.6105,81.1681
"TL33_4","RGroundwater","15/11/1956",80.0903,76.2022,78.7448,80.3413,79.1398,80.2419,79.5933,78.6666,77.9218,79.8092,80.3347
"TL33_4","RGroundwater","15/12/1956",79.3116,75.6871,78.0683,79.5407,78.5173,79.5259,78.849,78.2256,77.2752,79.052,79.6712
"TL33_4","RGroundwater","15/01/1957",78.6664,75.2744,77.6459,78.8701,78.5874,79.4999,78.1598,79.3432,76.7667,78.426,80.1603
"TL33_4","RGroundwater","15/02/1957",78.9469,75.9044,77.8617,78.9866,79.4695,80.6762,77.7842,82.6613,76.9796,78.7445,82.1632
"TL33_4","RGroundwater","15/03/1957",81.4315,77.9563,79.2896,80.8879,79.9936,82.4275,78.1254,84.7663,77.8759,80.9762,83.0734
"TL33_4","RGroundwater","15/04/1957",84.4513,79.745,81.5749,83.5634,81.9595,84.6261,79.1954,86.8097,78.6573,83.4058,83.6079
"TL33_4","RGroundwater","15/05/1957",84.1306,80.8287,81.1542,84.2889,84.1702,84.4438,79.9784,88.0123,79.9916,83.0569,83.3965
"TL33_4","RGroundwater","15/06/1957",83.3485,80.0747,80.31,84.264,84.7638,83.3843,80.6043,87.9359,80.2527,81.9318,82.8081
"TL33_4","RGroundwater","15/07/1957",82.1161,79.2957,79.5109,83.4286,83.2467,82.1359,80.2206,85.3978,79.4958,80.9348,81.6846
"TL33_4","RGroundwater","15/08/1957",81.09,78.5677,78.7723,82.3852,82.013,81.1066,79.445,83.6534,78.757,80.0717,80.7245
"TL33_4","RGroundwater","15/09/1957",80.2371,77.8999,78.1508,81.825,81.0359,80.2517,78.7328,82.6878,78.0791,79.3181,79.9117
"TL33_4","RGroundwater","15/10/1957",79.4439,77.2489,77.9842,81.9539,80.1599,79.4568,78.0315,83.0059,77.4872,78.5879,79.1444
"TL33_4","RGroundwater","15/11/1957",78.7607,76.6561,78.2014,82.872,79.3992,78.7458,77.3961,83.8547,77.4756,77.9189,78.448
"TL33_4","RGroundwater","15/12/1957",78.3434,76.1109,77.6472,82.0564,78.6658,78.144,76.8409,82.9467,78.0155,77.2677,77.8347
"TL33_4","RGroundwater","15/01/1958",78.5902,75.9657,77.9534,82.484,77.972,78.3911,77.0216,82.5883,78.7959,76.6534,77.8465
"TL33_4","RGroundwater","15/02/1958",80.069,77.0412,81.1485,84.2633,77.5039,79.9101,79.588,82.9674,80.9707,76.1282,79.0094
"TL33_4","RGroundwater","15/03/1958",83.1941,78.9676,85.7651,85.2075,77.9695,80.7702,83.4264,84.8836,81.382,75.5755,80.329
"TL33_4","RGroundwater","15/04/1958",85.9418,80.3879,86.8709,86.1585,79.5825,80.7501,84.0166,85.2989,81.1366,75.0846,81.6896
"TL33_4","RGroundwater","15/05/1958",86.1913,80.9739,87.5797,86.4723,79.7254,79.9759,83.0596,83.6893,80.2734,74.6121,83.2093
"TL33_4","RGroundwater","15/06/1958",84.3261,80.2126,87.1072,86.3448,79.0284,79.5717,82.5546,82.8751,79.5032,74.1426,84.4794
"TL33_4","RGroundwater","15/07/1958",82.8472,79.4231,84.8576,84.3564,78.3123,79.4892,81.4794,82.5181,78.764,73.6748,83.0561
"TL33_4","RGroundwater","15/08/1958",81.6926,78.6884,83.241,82.8699,77.6378,78.9398,80.548,81.4556,78.0617,73.2247,81.8609
"TL33_4","RGroundwater","15/09/1958",80.7623,78.0133,82.0482,81.7484,77.0233,78.2566,79.7529,80.5746,77.4234,72.8044,80.9065
"TL33_4","RGroundwater","15/10/1958",79.9173,77.3557,81.0316,80.7776,76.4214,77.5845,78.9968,79.8958,76.7996,72.384,80.0455
"TL33_4","RGroundwater","15/11/1958",79.1761,76.7567,80.1882,79.9597,75.8701,76.9729,78.3081,79.4049,76.2295,72.0191,79.294
"TL33_4","RGroundwater","15/12/1958",78.503,76.1834,79.544,79.2081,75.3282,76.3746,77.7943,78.6814,75.671,71.9597,78.5695
"TL33_4","RGroundwater","15/01/1959",78.3645,75.8659,80.1512,78.6812,74.8459,75.8078,78.5337,78.0107,75.2226,72.9823,78.0187
"TL33_4","RGroundwater","15/02/1959",79.8712,76.8939,82.8347,78.8866,74.7932,75.3473,80.4854,77.6744,75.6146,75.5588,78.6598
"TL33_4","RGroundwater","15/03/1959",82.7165,79.4795,85.0505,80.7374,75.8378,75.0578,80.8363,77.8044,77.7229,78.6544,80.9654
"TL33_4","RGroundwater","15/04/1959",84.1252,81.2497,86.6815,84.5477,77.7919,74.9589,82.1846,78.6176,80.4137,80.3321,82.4099
"TL33_4","RGroundwater","15/05/1959",83.1456,82.0574,87.2658,86.6605,78.6198,74.4729,83.97,80.5233,81.4023,79.676,82.327
"TL33_4","RGroundwater","15/06/1959",82.5804,81.8952,85.8779,86.185,78.1994,74.008,84.9933,81.9782,80.884,78.9525,82.1774
"TL33_4","RGroundwater","15/07/1959",81.4989,80.934,83.9992,84.2351,77.8661,73.5719,83.5702,81.0597,80.5506,78.2393,81.1749
"TL33_4","RGroundwater","15/08/1959",80.5649,80.071,82.6528,82.7786,77.231,73.4056,82.2734,80.1822,79.7492,77.5692,80.2831
"TL33_4","RGroundwater","15/09/1959",79.7681,79.3175,82.0252,81.6738,76.6385,73.9547,81.2563,79.4339,79.0187,76.9585,79.5121
"TL33_4","RGroundwater","15/10/1959",79.011,78.5873,81.7863,80.714,76.0569,74.9424,80.4025,78.8176,78.3021,76.3601,78.7714
"TL33_4","RGroundwater","15/11/1959",78.3196,77.9183,80.8729,79.9106,75.5232,75.334,80.091,78.339,77.6499,75.8118,78.0932
"TL33_4","RGroundwater","15/12/1959",77.6927,77.2676,80.0179,79.2988,74.9969,74.8805,80.5756,77.6782,77.0162,75.2747,77.5346
"TL33_4","RGroundwater","15/01/1960",77.5092,76.6777,79.2972,79.6838,74.4967,74.9208,81.3215,77.4248,76.5223,74.9015,77.883
"TL33_4","RGroundwater","15/02/1960",78.1349,76.4246,79.1814,82.1784,74.1872,77.6692,82.5006,80.1335,77.0004,75.7571,79.8602
"TL33_4","RGroundwater","15/03/1960",79.0434,77.0634,80.2958,85.0106,74.9373,82.7914,83.6816,85.1619,79.0268,78.5047,81.7982
"TL33_4","RGroundwater","15/04/1960",80.3053,78.3377,81.4151,85.4497,76.6757,83.963,84.4849,84.1806,80.4891,80.9001,82.576
"TL33_4","RGroundwater","15/05/1960",80.8107,79.5902,80.565,84.4531,76.483,83.1244,84.9415,82.7548,80.1957,82.0449,82.3301
"TL33_4","RGroundwater","15/06/1960",80.0392,81.458,79.7682,83.0193,75.9408,82.0992,83.4307,81.6543,79.7284,81.5946,82.5298
"TL33_4","RGroundwater","15/07/1960",79.326,80.6299,79.0121,81.8314,75.3953,81.0808,82.1606,80.6985,79.4516,80.8008,81.4813
"TL33_4","RGroundwater","15/08/1960",79.1315,79.8008,78.2975,80.8497,74.8967,80.2007,81.2412,79.8614,78.7339,79.9582,80.5496
"TL33_4","RGroundwater","15/09/1960",79.3452,79.113,77.685,80.0238,74.6011,79.4445,81.3389,79.1233,78.0561,79.2132,79.7543
"TL33_4","RGroundwater","15/10/1960",78.6492,78.8219,77.3822,79.2478,74.4323,78.7735,82.0741,78.4024,77.3959,78.4882,78.9982
"TL33_4","RGroundwater","15/11/1960",77.9767,79.186,77.3529,78.5455,73.9822,78.2056,81.152,77.7452,76.7946,77.8255,78.3067
"TL33_4","RGroundwater","15/12/1960",77.3349,79.3147,76.759,77.862,73.5885,77.543,80.2657,77.1499,76.2058,77.2069,77.6526
"TL33_4","RGroundwater","15/01/1961",77.0657,79.6923,76.3162,77.3922,73.8517,76.975,79.6142,77.0082,75.6557,76.9853,77.3517
"TL33_4","RGroundwater","15/02/1961",79.2091,83.5026,77.0897,78.309,75.7975,77.0386,80.3456,77.89,75.3462,78.5665,78.7913
"TL33_4","RGroundwater","15/03/1961",84.0982,89.5553,79.1654,80.8202,78.3742,78.2036,83.4314,78.6657,76.0261,82.3761,82.0242
"TL33_4","RGroundwater","15/04/1961",85.8217,88.9568,79.9484,81.7475,79.6304,79.9564,85.5394,78.2946,78.3658,84.5995,84.3307
"TL33_4","RGroundwater","15/05/1961",84.8357,87.8247,79.9952,81.122,80.4291,81.5595,84.5829,78.6984,80.0181,83.4881,86.4005
