dataset_code,wellmaster_id,location,aquifer,grid_reference,levels_url,climate_url
SY68_34,SY68/34,Ashton Farm,Chalk,3661 0880,https://www2.bgs.ac.uk/groundwater/downloads/hydrogeology/FutureFlowsHydrology-SY68_34-GWL.zip,https://www2.bgs.ac.uk/groundwater/downloads/hydrogeology/FutureFlowsClimate-SY68_34.zip
TA10_63,TA10/63,Aylesby,Chalk,5194 4071,https://www2.bgs.ac.uk/groundwater/downloads/hydrogeology/FutureFlowsHydrology-TA10_63-GWL.zip,https://www2.bgs.ac.uk/groundwater/downloads/hydrogeology/FutureFlowsClimate-TA10_63.zip
SU81_1,SU81/1,Chilgrove House,Chalk,4835 1143,https://www2.bgs.ac.uk/groundwater/downloads/hydrogeology/FutureFlowsHydrology-SU81_1-GWL.zip,https://www2.bgs.ac.uk/groundwater/downloads/hydrogeology/FutureFlowsClimate-SU81_1.zip
SU34_8D,SU34/8D,Clanville Lodge Gate,Chalk,4322 1490,https://www2.bgs.ac.uk/groundwater/downloads/hydrogeology/FutureFlowsHydrology-SU34_8D-GWL.zip,https://www2.bgs.ac.uk/groundwater/downloads/hydrogeology/FutureFlowsClimate-SU34_8D.zip
SE94_5,SE94/5,Dalton Holme,Chalk,4965 4453,https://www2.bgs.ac.uk/groundwater/downloads/hydrogeology/FutureFlowsHydrology-SE94_5-GWL.zip,https://www2.bgs.ac.uk/groundwater/downloads/hydrogeology/FutureFlowsClimate-SE94_5.zip
ST88_62A,ST88/62A,Didmarton 1,Inferior Oolite,3827 1874,https://www2.bgs.ac.uk/groundwater/downloads/hydrogeology/FutureFlowsHydrology-ST88_62A-GWL.zip,https://www2.bgs.ac.uk/groundwater/downloads/hydrogeology/FutureFlowsClimate-ST88_62A.zip
SD27_6B,SD27/6B,Furness Abbey,Permo-Triassic Sandstone,3216 4717,https://www2.bgs.ac.uk/groundwater/downloads/hydrogeology/FutureFlowsHydrology-SD27_6B-GWL.zip,https://www2.bgs.ac.uk/groundwater/downloads/hydrogeology/FutureFlowsClimate-SD27_6B.zip
TL89_37,TL89/37,Grimes Graves,Chalk,5817 2900,https://www2.bgs.ac.uk/groundwater/downloads/hydrogeology/FutureFlowsHydrology-TL89_37-GWL.zip,https://www2.bgs.ac.uk/groundwater/downloads/hydrogeology/FutureFlowsClimate-TL89_37.zip
SJ62_112,SJ62/112,Heathlanes,Permo-Triassic Sandstone,3619 3210,https://www2.bgs.ac.uk/groundwater/downloads/hydrogeology/FutureFlowsHydrology-SJ62_112-GWL.zip,https://www2.bgs.ac.uk/groundwater/downloads/hydrogeology/FutureFlowsClimate-SJ62_112.zip
SK17_13,SK17/13,Hucklow South,Carboniferous Limestone,4177 3775,https://www2.bgs.ac.uk/groundwater/downloads/hydrogeology/FutureFlowsHydrology-SK17_13-GWL.zip,https://www2.bgs.ac.uk/groundwater/downloads/hydrogeology/FutureFlowsClimate-SK17_13.zip
TR14_9,TR14/9,Little Bucket Farm,Chalk,6122 1469,https://www2.bgs.ac.uk/groundwater/downloads/hydrogeology/FutureFlowsHydrology-TR14_9-GWL.zip,https://www2.bgs.ac.uk/groundwater/downloads/hydrogeology/FutureFlowsClimate-TR14_9.zip
