Year,DJF,MAM,JJA,SON,Annual_Mean
2000,78.47924544272394,81.87515420192844,81.17552744958367,79.07394613348936,80.15096830693135
2001,78.48992693147399,81.89078080275586,81.18452031437391,79.08552738316372,80.16268885794187
2002,78.50060842022403,81.90640740358327,81.19351317916417,79.09710863283809,80.17440940895239
2003,78.51128990897408,81.92203400441069,81.20250604395443,79.10868988251245,80.18612995996291
2004,78.52197139772412,81.93766060523811,81.21149890874469,79.12027113218682,80.19785051097344
2005,78.53265288647415,81.95328720606553,81.22049177353495,79.13185238186118,80.20957106198395
2006,78.54333437522419,81.96891380689294,81.22948463832519,79.14343363153554,80.22129161299446
2007,78.55401586397423,81.98454040772037,81.23847750311545,79.1550148812099,80.23301216400498
2008,78.56469735272428,82.00016700854778,81.2474703679057,79.16659613088427,80.2447327150155
2009,78.57537884147432,82.01579360937521,81.25646323269595,79.17817738055862,80.25645326602603
2010,78.58606033022437,82.03142021020261,81.26545609748621,79.18975863023299,80.26817381703654
2011,78.59674181897441,82.04704681103004,81.27444896227647,79.20133987990735,80.27989436804707
2012,78.60742330772445,82.06267341185745,81.28344182706672,79.21292112958172,80.29161491905758
2013,78.61810479647448,82.07830001268488,81.29243469185697,79.22450237925608,80.3033354700681
2014,78.62878628522454,82.09392661351228,81.30142755664723,79.23608362893044,80.31505602107862
2015,78.63946777397457,82.10955321433971,81.31042042143748,79.24766487860481,80.32677657208913
2016,78.65014926272461,82.12517981516712,81.31941328622773,79.25924612827917,80.33849712309966
2017,78.66083075147466,82.14080641599455,81.32840615101799,79.27082737795354,80.35021767411018
2018,78.6715122402247,82.15643301682195,81.33739901580824,79.28240862762789,80.3619382251207
2019,78.68219372897474,82.17205961764938,81.3463918805985,79.29398987730227,80.37365877613122
2020,78.69287521772478,82.18768621847678,81.35538474538875,79.30557112697662,80.38537932714172
2021,78.70355670647483,82.20331281930422,81.364377610179,79.31715237665098,80.39709987815226
2022,78.71423819522487,82.21893942013162,81.37337047496926,79.32873362632535,80.40882042916277
2023,78.7249196839749,82.23456602095905,81.38236333975951,79.34031487599971,80.4205409801733
2024,78.73560117272496,82.25019262178647,81.39135620454977,79.35189612567407,80.43226153118383
2025,78.74628266147499,82.26581922261389,81.40034906934002,79.36347737534844,80.44398208219434
2026,78.75696415022503,82.2814458234413,81.40934193413028,79.3750586250228,80.45570263320485
2027,78.76764563897507,82.29707242426872,81.41833479892053,79.38663987469717,80.46742318421536
2028,78.77832712772512,82.31269902509614,81.42732766371078,79.39822112437153,80.4791437352259
2029,78.78900861647516,82.32832562592355,81.43632052850104,79.4098023740459,80.49086428623642
2030,78.7996901052252,82.34395222675097,81.44531339329129,79.42138362372026,80.50258483724693
2031,78.81037159397525,82.35957882757839,81.45430625808154,79.43296487339461,80.51430538825744
2032,78.82105308272529,82.3752054284058,81.4632991228718,79.44454612306899,80.52602593926797
2033,78.83173457147532,82.39083202923322,81.47229198766206,79.45612737274334,80.5377464902785
2034,78.84241606022536,82.40645863006064,81.48128485245232,79.4677086224177,80.549467041289
2035,78.85309754897541,82.42208523088806,81.49027771724256,79.47928987209207,80.56118759229953
2036,78.86377903772545,82.43771183171548,81.49927058203282,79.49087112176643,80.57290814331004
2037,78.87446052647549,82.45333843254289,81.50826344682307,79.5024523714408,80.58462869432056
2038,78.88514201522554,82.46896503337031,81.51725631161332,79.51403362111516,80.59634924533108
2039,78.89582350397558,82.48459163419773,81.52624917640358,79.52561487078952,80.6080697963416
2040,78.90650499272562,82.50021823502514,81.53524204119384,79.53719612046389,80.61979034735212
2041,78.91718648147565,82.51584483585256,81.5442349059841,79.54877737013825,80.63151089836265
2042,78.9278679702257,82.53147143667998,81.55322777077434,79.56035861981262,80.64323144937316
2043,78.93854945897574,82.5470980375074,81.5622206355646,79.57193986948698,80.65495200038367
2044,78.94923094772578,82.56272463833481,81.57121350035484,79.58352111916133,80.66667255139419
