Year,Season,Mean_After_Outlier_Removal
2000,DJF,77.6261851851852
2001,DJF,79.16685000000001
2002,DJF,79.29376666666667
2003,DJF,78.69881515151513
2004,DJF,79.29696969696968
2005,DJF,79.17837878787878
2006,DJF,78.77539666666667
2007,DJF,78.464
2008,DJF,78.4479484848485
2009,DJF,78.59860606060607
2010,DJF,79.05087333333333
2011,DJF,77.51894666666666
2012,DJF,78.29828787878787
2013,DJF,78.05615151515151
2014,DJF,78.7956
2015,DJF,78.57186666666666
2016,DJF,77.76324545454547
2017,DJF,77.47411818181817
2018,DJF,78.78867037037037
2019,DJF,78.9456
2020,DJF,78.23105454545454
2021,DJF,78.12789696969695
2022,DJF,79.56147407407406
2023,DJF,80.52943030303031
2024,DJF,78.45645151515151
2025,DJF,78.14014
2026,DJF,77.87584848484848
2027,DJF,79.24931515151515
2028,DJF,79.78014848484848
2029,DJF,78.85454666666666
2030,DJF,79.54629696969697
2031,DJF,79.08407272727273
2032,DJF,78.88963333333334
2033,DJF,79.48103666666665
2034,DJF,78.18902
2035,DJF,78.13399090909091
2036,DJF,77.4111
2037,DJF,78.37749666666667
2038,DJF,77.98432222222223
2039,DJF,78.96655454545454
2040,DJF,78.44075454545454
2041,DJF,79.01871212121213
2042,DJF,80.0846787878788
2043,DJF,79.22174333333334
2044,DJF,79.67535333333333
2045,DJF,78.83434242424244
2046,DJF,79.43560606060606
2047,DJF,78.60486
2048,DJF,79.33397878787879
2049,DJF,78.9585090909091
2050,DJF,79.19158000000002
2051,DJF,77.51885666666666
2052,DJF,79.02468484848485
2053,DJF,79.78139999999999
2054,DJF,79.23670606060605
2055,DJF,78.24728181818182
2056,DJF,79.13368181818181
2057,DJF,78.93983636363636
2058,DJF,79.31061515151515
2059,DJF,80.03915454545454
2060,DJF,78.9523696969697
2061,DJF,79.08468484848486
2062,DJF,78.7720787878788
2063,DJF,78.95478787878788
2064,DJF,78.16413333333333
2065,DJF,78.23647407407407
2066,DJF,78.99500909090911
2067,DJF,79.33738787878788
2068,DJF,78.59561333333332
2069,DJF,78.58144999999999
2070,DJF,80.6292303030303
2071,DJF,80.06244545454545
2072,DJF,80.52816666666666
2073,DJF,80.92986363636363
2074,DJF,81.24946999999999
2075,DJF,78.96833000000001
2076,DJF,78.65473333333333
2077,DJF,79.33082727272728
2078,DJF,79.13562121212122
2079,DJF,78.41890606060605
2080,DJF,78.1328787878788
2000,MAM,80.75838484848485
2001,MAM,82.56727575757577
2002,MAM,82.2381303030303
2003,MAM,82.09830000000001
2004,MAM,82.48627878787879
2005,MAM,82.2081909090909
2006,MAM,81.90980666666667
2007,MAM,82.60271515151516
2008,MAM,82.27720000000001
2009,MAM,82.56624242424243
2010,MAM,81.74337272727271
2011,MAM,81.25742424242425
2012,MAM,80.57776666666666
2013,MAM,81.17628787878787
2014,MAM,82.77713636363636
2015,MAM,81.7087515151515
2016,MAM,81.20531818181817
2017,MAM,80.2694696969697
2018,MAM,83.71702666666667
2019,MAM,83.6083606060606
2020,MAM,81.25758484848485
2021,MAM,81.3981
2022,MAM,85.14183
2023,MAM,84.41713333333334
2024,MAM,81.55034242424243
2025,MAM,81.9115
2026,MAM,79.2636393939394
2027,MAM,83.23053636363638
2028,MAM,83.5339515151515
2029,MAM,81.56632083333334
2030,MAM,82.8187515151515
2031,MAM,82.26503939393939
2032,MAM,83.85027916666667
2033,MAM,83.1269303030303
2034,MAM,82.29737272727272
2035,MAM,81.45095757575757
2036,MAM,80.743
2037,MAM,82.7583909090909
2038,MAM,82.03860303030302
2039,MAM,82.72686060606061
2040,MAM,81.18365666666668
